"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rhoc",0.00100528866008146,-0.109503102803086,0.478,0.392,1
"Selenbp1",0.00100632289576635,0.211384455631502,0.257,0.136,1
"Sptssa",0.00100900612768138,-0.0675509898524294,0.368,0.271,1
"Apoe",0.0010190374084216,-1.12535317278184,0.404,0.495,1
"Emc7",0.00102032877826006,0.440048718138405,0.375,0.211,1
"Tmem165",0.00102722680367899,0.301023139957619,0.338,0.193,1
"Pds5b",0.00103076022746449,0.328869268442018,0.257,0.128,1
"Tgfb3",0.00103602628872034,-0.519315679790425,0.331,0.362,1
"Oaz2",0.00103709425644914,-0.157969000756613,0.324,0.264,1
"Ptges3",0.0010381913505219,-0.0669737808714215,0.338,0.256,1
"Hdgf",0.00103912718338582,0.390034157217953,0.434,0.271,1
"Pmp22",0.00104384558307477,0.248604319171624,0.647,0.48,1
"Sys1",0.00104526412531516,0.183646513648461,0.287,0.161,1
"Sox9",0.0010468659650994,-0.0396253761305028,0.36,0.264,1
"Sarnp",0.00106596517344214,-0.112978536497022,0.301,0.231,1
"Prkacb",0.00106796275962259,-0.0445816009988608,0.279,0.183,1
"Gstm1",0.00107195146807004,0.219552812615569,0.279,0.151,1
"Rab34",0.00107463668902988,0.0536548657987955,0.287,0.181,1
"Rbpms",0.0010746728453597,-0.152115922435773,0.368,0.274,1
"Prpf4b",0.00107533620160535,0.265669432819119,0.412,0.269,1
"Mrps14",0.00107834782644539,0.00639019346434222,0.324,0.219,1
"Uri1",0.00107999959417181,0.283742695138899,0.294,0.156,1
"Ndufa4",0.00108048625156853,-0.346419792408926,0.574,0.565,1
"Txndc17",0.00109429330009047,-0.0321052349324944,0.485,0.377,1
"Ybx3",0.00110590725197534,0.18004931023639,0.375,0.239,1
"Rwdd1",0.00110657964598322,0.279504055010935,0.331,0.183,1
"Tubb2a",0.00110758827193303,0.111720921604648,0.324,0.196,1
"Zcchc6",0.00111467880967962,0.26158276961224,0.309,0.176,1
"Srsf7",0.00111662641932956,0.157081919099342,0.272,0.156,1
"Chmp5",0.00111837303681206,-0.230801603832234,0.324,0.271,1
"Tmem167",0.00112871487494046,0.321680366505362,0.537,0.364,1
"Eif1",0.00113472496195764,-0.293211078164373,0.824,0.812,1
"Chpf",0.00113845557753657,-0.366624876870626,0.338,0.314,1
"Rp9",0.00113917616445851,0.0464299199137667,0.272,0.178,1
"Tln1",0.00113941129002563,0.0484665715704617,0.463,0.347,1
"Purb",0.00114006960467511,0.0949152928866346,0.456,0.319,1
"Sumo3",0.00114149111415547,0.250180503571397,0.331,0.191,1
"Rbms1",0.00114385719786164,-0.0451331200384062,0.559,0.455,1
"Sspn",0.00114716002013923,-0.684567400632629,0.147,0.264,1
"Rbp1",0.00114798407911764,-0.321835251286893,0.735,0.691,1
"Phb2",0.00115849082233755,0.257549932916802,0.257,0.131,1
"Ccdc47",0.00116722174125621,0.127863123721002,0.324,0.193,1
"Mmp23",0.001172150231952,-0.197871697530267,0.5,0.44,1
"2700060E02Rik",0.00117892585560928,0.0811152184691841,0.522,0.382,1
"Kdelc2",0.00118314391003662,0.34355430191498,0.471,0.304,1
"Rps16-ps2",0.00118327922637605,-0.327236370101746,0.324,0.307,1
"Fndc3b",0.00118828069114877,0.1994873204161,0.441,0.291,1
"Zcrb1",0.00118983513231915,0.356741549862219,0.397,0.241,1
"Cops7a",0.00120195072488073,0.220445634438516,0.294,0.171,1
"Emc2",0.00120484403008981,0.301519320274847,0.338,0.193,1
"Slc25a5",0.00120592707524532,0.118697996050793,0.64,0.482,1
"Cwc15",0.00120752524875102,0.0757156688528404,0.456,0.319,1
"Ndufa6",0.00120856433651819,-0.0519612222686412,0.632,0.528,1
"Igsf3",0.00121505148271768,0.108141168273488,0.279,0.168,1
"Ik",0.00122536942238811,0.214317871900123,0.441,0.289,1
"Adamts5",0.00124463688779094,0.228953790427564,0.368,0.234,1
"Bod1l",0.00124572895404458,0.165026913473407,0.368,0.229,1
"Vimp",0.00124922025847811,0.00634800685582171,0.456,0.337,1
"Ufl1",0.00127260375473967,0.235800137818583,0.272,0.141,1
"Sfpq",0.00128981442591429,0.211148460362065,0.493,0.332,1
"Ola1",0.0012900849997841,0.314996362107202,0.272,0.141,1
"Sae1",0.00129102712035754,0.147376646722664,0.279,0.158,1
"Eva1b",0.0012916766344918,-0.387151616550548,0.463,0.457,1
"Safb",0.00129955695670538,-0.279203216987707,0.324,0.276,1
"Rbm17",0.00130180822025867,0.143321682704187,0.324,0.206,1
"Rab1b",0.00131954127005807,0.20856899496919,0.331,0.198,1
"Eif4g3",0.0013220886485583,0.0370824073611855,0.368,0.254,1
"Uqcc2",0.00132230836528238,-0.572331111670611,0.301,0.354,1
"Reep5",0.00132368491312731,-0.0148280805536085,0.382,0.284,1
"Ier3ip1",0.00132761214036092,0.106341572027325,0.463,0.334,1
"Clmp",0.00132893145225384,0.072170604239395,0.316,0.204,1
"Ccdc34",0.00134920354718365,0.329021123556895,0.301,0.163,1
"Snhg8",0.00134973725203863,0.143582296834214,0.449,0.307,1
"Nucks1",0.00135118063698613,0.291226962129968,0.493,0.329,1
"Acbd3",0.00135711333661922,0.139717339760694,0.346,0.221,1
"Ddx6",0.00137192723441477,-0.395950939171383,0.338,0.347,1
"Igfbp7",0.00138366359341294,-0.315048345583077,1,0.992,1
"Rad21",0.00139475792206132,0.371379306909405,0.309,0.166,1
"Plscr3",0.00140183430639738,0.203526724213005,0.294,0.163,1
"H3f3a",0.00140501725256665,0.195187239154241,0.485,0.329,1
"Tmpo",0.00140854922738671,0.580461942688667,0.287,0.143,1
"Ndufv3",0.00140921006211773,0.0160864647857499,0.478,0.364,1
"Tra2a",0.001421593563171,-0.0548002093851614,0.449,0.359,1
"Sp3",0.00142621139124979,0.365988773764442,0.287,0.148,1
"Kpnb1",0.00143650940644847,0.452833743371881,0.338,0.186,1
"Mrpl42",0.00143922163089627,0.266701259540602,0.404,0.249,1
"Nfib",0.00146443206107243,0.405607795722761,0.676,0.505,1
"Ghitm",0.00148804882126981,0.327706380142033,0.324,0.181,1
"Bmp1",0.00149741899208318,-0.268226260995852,0.353,0.309,1
"Hnrnpl",0.00149758542363193,0.159872467180185,0.404,0.279,1
"Atp5o",0.00149997142977742,0.360023674012382,0.669,0.492,1
"Nop10",0.00151897983815556,-0.314622013705299,0.309,0.299,1
"Rbbp7",0.00152235090862904,0.488733387289352,0.449,0.279,1
"Atp5k",0.00152774095043156,-0.0197566372857438,0.537,0.417,1
"Clic1",0.00152819202740198,0.431911789388424,0.603,0.425,1
"P3h4",0.00152839431313608,-0.114169658941361,0.294,0.211,1
"Rps10",0.00152908427126745,0.220502309371217,0.912,0.781,1
"Rab7",0.00153257547452647,0.177996379756499,0.426,0.286,1
"Sox4",0.00153940759230869,-0.0300586392993667,0.426,0.344,1
"Kif1b",0.00154045655948473,0.00180894999136161,0.338,0.229,1
"Acadl",0.00154996259883168,0.454917861354709,0.36,0.204,1
"Nes",0.00156121130092162,0.339780942026025,0.382,0.236,1
"Srsf9",0.00156812232399432,0.118104987468151,0.287,0.181,1
"Tbcb",0.00157710018157785,0.0168988002892159,0.353,0.254,1
"Tmem258",0.00158179514044903,0.16554618407932,0.551,0.399,1
"Blmh",0.00158197291038705,0.330038272566539,0.346,0.206,1
"Rdx",0.00159048990427753,0.157631704307199,0.559,0.402,1
"Itih5",0.00159830804319433,0.501600145931315,0.456,0.286,1
"Srsf11",0.00161149909670573,0.250315569594502,0.61,0.447,1
"Hmgn1",0.00161267662999285,0.45593253040335,0.654,0.487,1
"S100a13",0.00161288450002145,-0.0600680044866699,0.441,0.344,1
"Ssr1",0.00162290144154672,0.146407755748938,0.471,0.327,1
"Pdlim2",0.00164454414404759,-0.083831460026234,0.412,0.327,1
"Gadd45g",0.00165547019959841,0.497987014669695,0.404,0.241,1
"Cd200",0.00167214045668922,-0.483765222668288,0.382,0.472,1
"Gorasp2",0.00169947676534618,0.36942844293671,0.279,0.143,1
"Hnrnpa3",0.00170117999304289,-0.593049310011221,0.316,0.417,1
"Rps24-ps3",0.0017380489173198,-0.370813409655383,0.412,0.402,1
"Rnf7",0.0017391092766951,0.0401064540981406,0.36,0.254,1
"Rbm26",0.00174067646009659,0.128710830615537,0.265,0.148,1
"Lhfp",0.00174139823450048,0.121576190945451,0.691,0.553,1
"Arpc1b",0.00174544184096724,0.433111497450897,0.662,0.492,1
"Ccdc59",0.00175456131244059,0.0805640494263224,0.324,0.209,1
"Pak2",0.00175550819944768,0.0497834566951108,0.353,0.241,1
"Ncor1",0.00175994803995827,-0.109085401008031,0.404,0.332,1
"Cfl1",0.00177635469910441,0.197267191817522,0.647,0.49,1
"Canx",0.00178561420788924,0.187296337957566,0.713,0.555,1
"Mrpl20",0.00181683814995539,0.139418239543788,0.324,0.204,1
"Ndufs8",0.00182006037296642,-0.0425589962573718,0.382,0.289,1
"Rpn1",0.00183145662420615,0.225689878890871,0.397,0.254,1
"Txnl1",0.00183347256499643,0.234337286556975,0.39,0.244,1
"Eno1",0.00184120437965408,0.422747312383803,0.316,0.173,1
"Med28",0.00184163074766258,-0.48905992995365,0.279,0.279,1
"Ndel1",0.00186566346468751,0.265822788126352,0.265,0.143,1
"9530068E07Rik",0.00186637023793717,0.169211157431282,0.426,0.294,1
"Ddah2",0.00187611314226619,0.267390373254754,0.61,0.447,1
"Txn2",0.00187694666444945,0.156589583531698,0.287,0.171,1
"St13",0.00188414432898708,0.281311300735867,0.529,0.374,1
"Mfge8",0.00190233695099422,-0.207443747534892,0.471,0.422,1
"Gdi2",0.00191933139207562,0.268544915920724,0.544,0.382,1
"Prr13",0.0019276188289422,-0.151220081047914,0.287,0.234,1
"Anapc13",0.00193379320957906,-0.132558665296953,0.324,0.244,1
"Fam168a",0.00193427185433208,0.260159232188651,0.287,0.156,1
"Carhsp1",0.00195751435863804,0.395061438540083,0.287,0.151,1
"Zrsr2",0.00197359017110652,-0.0071997974394149,0.265,0.166,1
"Pfdn4",0.0019752839548437,0.144497264077601,0.265,0.148,1
"Mt1",0.00197760415796789,0.529078715742435,0.419,0.256,1
"Atox1",0.00197807052227601,-0.224093819309579,0.588,0.535,1
"Hsd17b10",0.00199464302889982,0.125829091151695,0.257,0.146,1
"Selm",0.00201798552217976,-0.271929676810005,0.551,0.55,1
"Capn2",0.00202152575619438,0.162428256232197,0.404,0.274,1
"Itm2b",0.00202760688050434,-0.263196012004265,0.926,0.899,1
"Polr1d",0.00203720613980911,0.451389451293087,0.324,0.176,1
"Ybx1",0.00205105539000429,0.496440487211281,0.779,0.673,1
"Cul1",0.00205176220673955,0.376154984743895,0.346,0.198,1
"Ghr",0.00205714439126532,0.0854320001291123,0.265,0.171,1
"Acin1",0.00208533341404934,-0.0174193620559731,0.529,0.42,1
"Txn1",0.00209393200911516,0.367631449826091,0.75,0.585,1
"Bcap31",0.00209437490664491,0.229378605518266,0.434,0.284,1
"Rbm3",0.00210763268206082,0.24291481096871,0.309,0.176,1
"Pfdn5",0.00212281722586234,0.120159923338418,0.75,0.606,1
"Aes",0.002136730994442,0.318481639727589,0.368,0.224,1
"Trip6",0.00217620678048398,0.337121623162878,0.257,0.128,1
"Dctn2",0.00217959563474354,0.0409479989073054,0.375,0.261,1
"Calu",0.00218006030668173,0.327588150531526,0.654,0.485,1
"Gm5436",0.00219467949865185,0.0524626948101874,0.279,0.173,1
"Tmem256",0.00222515695679589,-0.171290357316436,0.522,0.457,1
"Psmb1",0.00224886948694162,0.377267539434172,0.779,0.628,1
"Pcbp2",0.00224950538144981,0.154348252863963,0.588,0.452,1
"Ddx5",0.00225051548459887,-0.0250490371187451,0.853,0.751,1
"Fermt2",0.00226924054423183,0.279412246592019,0.588,0.43,1
"Rock1",0.00227765328552935,-0.0292089900035217,0.419,0.324,1
"H2afj",0.00229822473245405,-0.491981211157977,0.294,0.319,1
"Eif1b",0.00230204789893565,0.171816606672601,0.404,0.269,1
"Pea15a",0.00231086079198933,-0.0547135423671725,0.375,0.291,1
"Tmem263",0.00231261866562353,0.163799452658953,0.265,0.156,1
"Timm10b",0.00232214827906297,-0.0526846714715745,0.316,0.239,1
"Ndufs6",0.00233585861546643,0.0809769037033004,0.397,0.284,1
"Hdlbp",0.00233636631371648,0.245055627210425,0.559,0.394,1
"Ndufb10",0.00234077577398982,0.221032618211815,0.515,0.362,1
"Ddx1",0.00236015978927134,0.0593754464530477,0.287,0.176,1
"Rsl1d1",0.00236386216423937,0.400659461556474,0.375,0.221,1
"Rab11a",0.0023707875788842,0.28829427226742,0.412,0.271,1
"Swi5",0.00237426660563939,0.172641717159018,0.544,0.392,1
"H2afv",0.00237876422592237,0.67715824674002,0.522,0.354,1
"Vapa",0.00238386330297411,-0.110562318364309,0.419,0.344,1
"Nudt4",0.0024073442931975,-0.184393215009564,0.331,0.274,1
"Fbn1",0.0024090166020586,-0.316191107264209,0.772,0.741,1
"Psmd6",0.00241152010472207,0.270288759701146,0.316,0.188,1
"Ptgis",0.00241434079561567,0.0293474602246637,0.596,0.485,1
