"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mrpl36",1.34690628527528e-08,-0.01224761734437,0.297,0.15,0.000336376375684649
"Dusp11",1.35752542120836e-08,-0.15780142728585,0.335,0.208,0.000339028398692575
"Zmiz1",1.36269776462758e-08,0.0220716072771969,0.335,0.191,0.000340320139738092
"Ctsd",1.40106770844552e-08,-0.832133495075884,0.81,0.767,0.000349902649507183
"Dhx36",1.40535237052286e-08,0.244321560099905,0.266,0.102,0.000350972701014379
"Calm2",1.4129584623161e-08,-0.159209085836368,0.835,0.715,0.000352872246378823
"Fundc2",1.41691548519779e-08,-0.157367582183385,0.316,0.193,0.000353860473273296
"Rnf20",1.42729232305722e-08,0.129877746587074,0.266,0.118,0.000356451984760309
"Sdf2",1.43254748381222e-08,-0.0844452078971587,0.335,0.208,0.000357764408607264
"Tomm40",1.45686099935352e-08,0.274150139009401,0.253,0.093,0.000363836465978548
"Cers2",1.46858757852857e-08,-0.0225742001522321,0.297,0.161,0.000366765061861726
"Dap",1.48870822349904e-08,0.0538791437714466,0.297,0.155,0.000371789991736651
"Psmd7",1.49737205684514e-08,0.463018955499368,0.443,0.22,0.000373953697476504
"Plekho2",1.49959803414236e-08,0.306098375017043,0.348,0.161,0.000374509613046713
"Frrs1",1.50331212718681e-08,0.0246432047727465,0.278,0.133,0.000375437170643634
"Cpne3",1.50659303262237e-08,-0.012555335097606,0.405,0.252,0.000376256543967112
"Gm16286",1.51176869507972e-08,0.0659407050015663,0.272,0.129,0.00037754911390921
"Hmgb1",1.56081843013842e-08,-0.908636823763955,0.278,0.406,0.000389798794742768
"Rnase4",1.57098272367441e-08,-0.00571559930903609,0.772,0.593,0.000392337225410446
"Dynll2",1.57176278885305e-08,0.0845839179486071,0.31,0.162,0.00039253203888816
"Arhgef2",1.57444390843681e-08,-0.0769036640068085,0.31,0.18,0.000393201621693008
"Ivns1abp",1.5762966844697e-08,-0.0109745212510066,0.399,0.258,0.000393664333979462
"Polr2i",1.58015481025508e-08,-0.0403941502578961,0.272,0.15,0.000394627862313103
"Tgif1",1.59000155755142e-08,0.270951748759777,0.348,0.166,0.000397086988982891
"Nedd4",1.63079975463381e-08,0.612066120586761,0.259,0.083,0.000407275930722248
"Syngr2",1.63657524507181e-08,0.18785674938309,0.38,0.201,0.000408718301704235
"Evi2a",1.63761562491233e-08,-0.0315859597590726,0.462,0.313,0.000408978126165604
"Mapre2",1.64232285700135e-08,0.241470141156049,0.291,0.122,0.000410153710307516
"Vps4b",1.6443102774253e-08,0.0330384348800683,0.386,0.245,0.000410650048684195
"Cntrl",1.65549751571232e-08,0.216749179295919,0.323,0.15,0.000413443949573996
"Actn4",1.6597452285163e-08,-0.208085756901838,0.399,0.281,0.000414504773369661
"Foxp1",1.6726635906256e-08,-0.0577507533751342,0.386,0.242,0.000417731005122837
"Lrpap1",1.68656769872215e-08,0.0457412917416076,0.38,0.229,0.00042120341707887
"Prdx4",1.70411459944148e-08,0.197459166902015,0.43,0.241,0.000425585580064516
"Acaa2",1.70802006211522e-08,0.17750726707129,0.31,0.144,0.000426560930312656
"Psmc1",1.73378072019821e-08,0.236130930852189,0.506,0.291,0.0004329943970623
"Parp14",1.74184231962686e-08,0.130582595211679,0.266,0.122,0.000435007700903611
"Gm11942",1.7499830663862e-08,0.227706248371465,0.741,0.519,0.00043704077099929
"Vapb",1.75902900774791e-08,0.0713334992991607,0.323,0.179,0.000439299904394962
"Mcur1",1.77063671572571e-08,0.0348177397719963,0.259,0.129,0.000442198813385339
"Lpin2",1.78002775593391e-08,0.265689753891457,0.323,0.144,0.000444544131766935
"Ubxn4",1.78405907436314e-08,0.21749834172811,0.532,0.319,0.000445550913231451
"Commd3",1.79348394732796e-08,0.108517430782975,0.323,0.165,0.000447904681005684
"Vwa5a",1.79514694991902e-08,-0.0858140887127274,0.329,0.199,0.000448319999272775
"Mrps17",1.82446512844945e-08,-0.120202985853713,0.272,0.141,0.000455641921178965
"Trem2",1.83088135807693e-08,-0.303391111616813,0.639,0.528,0.000457244310366131
"N6amt2",1.83282868595576e-08,0.149742288652426,0.253,0.101,0.000457730636030593
"Ywhah",1.83988786766563e-08,0.151170078676764,0.449,0.269,0.000459493596070815
"Pgd",1.85097753032216e-08,-0.166146813775667,0.342,0.233,0.000462263128422656
"Tmem123",1.85651118082145e-08,0.0870610029199903,0.323,0.161,0.000463645102298349
"Ndufab1",1.85735191580559e-08,0.271955611349229,0.405,0.208,0.000463855067453288
"Fgd2",1.86705621268334e-08,0.226671153168771,0.253,0.109,0.000466278618555536
"Sdha",1.86712509527907e-08,-0.0003176722428887,0.323,0.175,0.000466295821294995
"Cbx5",1.89706267179027e-08,0.406572378695,0.31,0.123,0.000473772431652902
"Gtf3c6",1.92021378308979e-08,0.270478588731819,0.297,0.127,0.000479554190188843
"Ppil2",1.92283265345446e-08,-0.007503081968951,0.259,0.129,0.000480208226873716
"Birc3",1.92299700436139e-08,0.384573119131473,0.304,0.129,0.000480249271869214
"Pttg1ip",1.94827451623809e-08,-0.145579701620342,0.278,0.157,0.0004865620776853
"Cul5",1.94907252167217e-08,0.205208910986011,0.272,0.109,0.000486761371562408
"Man2a1",1.94928210153619e-08,0.194611594983744,0.304,0.137,0.000486813712037648
"Rsbn1l",1.95534443562735e-08,-0.0137335077033582,0.354,0.216,0.000488327719353573
"Sel1l",1.994775250374e-08,-0.123409414170744,0.253,0.139,0.000498175171028402
"Mff",2.03346161157039e-08,0.123911156149971,0.285,0.127,0.000507836702873589
"Mrps28",2.03793706525692e-08,0.244859526857441,0.266,0.107,0.000508954402677264
"Cfp",2.05649623115066e-08,0.0819421090337782,0.684,0.463,0.000513589368767566
"Gng2",2.07928983514735e-08,0.0553781993227287,0.437,0.271,0.000519281843429698
"Ddx46",2.09215941518921e-08,0.0228953035754558,0.386,0.23,0.000522495892349354
"Sltm",2.09500331723656e-08,0.365817290253599,0.468,0.252,0.000523206128446659
"Usp14",2.10501406729974e-08,-0.0588546361005952,0.278,0.148,0.000525706213167437
"Mia3",2.10647975747111e-08,0.0246818266800122,0.278,0.145,0.000526072254630834
"Echs1",2.11167640730236e-08,0.0676676325468424,0.31,0.157,0.00052737006595969
"Pqbp1",2.11619827855311e-08,0.151859751076863,0.272,0.119,0.000528499358085855
"Kmt2e",2.12923791489692e-08,-0.0227854159854817,0.443,0.277,0.000531755876866357
"Zfp36l1",2.14929539214784e-08,-0.21850165570053,0.785,0.637,0.000536765031235002
"AI413582",2.16284564800839e-08,-0.297907306733068,0.278,0.204,0.000540149072133616
"Slc25a11",2.1673895083431e-08,0.0573664225995087,0.342,0.187,0.000541283855813605
"Tmpo",2.16878136682014e-08,0.0464661902384677,0.31,0.155,0.000541631458549663
"Stx7",2.17258980579184e-08,0.0379723984154596,0.449,0.281,0.000542582578098455
"Dnajc2",2.18625101439386e-08,0.147107936690407,0.386,0.209,0.000545994328334723
"Dnajc5",2.19147639531549e-08,0.222631381801987,0.348,0.173,0.00054729931496609
"Gm15459",2.19691515595017e-08,-0.302700584848056,0.272,0.193,0.000548657591046995
"Smim11",2.19861034784245e-08,-0.00377824778453739,0.304,0.166,0.000549080948270173
"Slc25a3",2.21812578425436e-08,0.380205853005388,0.715,0.47,0.000553954733359684
"Rplp0",2.24131756733863e-08,0.498238389559891,0.899,0.72,0.000559746649267151
"Necap2",2.26242958064205e-08,0.0781148158468921,0.437,0.27,0.000565019163469546
"Sptbn1",2.27251984050691e-08,0.0340342755351355,0.38,0.23,0.000567539104968195
"Tmem86a",2.2905802906827e-08,-0.0689578971620231,0.259,0.141,0.000572049521795097
"Smarcc1",2.29063867510587e-08,0.270866007305051,0.31,0.133,0.000572064102720939
"Nr3c1",2.29475751324483e-08,-0.0185139250376205,0.348,0.209,0.000573092741357765
"Cxcl16",2.36065644403543e-08,-0.31657592561409,0.519,0.41,0.000589550340333409
"Ndufb7",2.40739833909553e-08,0.512672033606915,0.709,0.453,0.000601223661205717
"Eif4e3",2.40982848292268e-08,0.243089981765135,0.316,0.139,0.00060183056532511
"Abi1",2.41011596746425e-08,-0.182047273326764,0.494,0.373,0.000601902361714523
"Icam1",2.46488405654544e-08,-0.0145330358814573,0.297,0.158,0.000615580144281657
"Upf3b",2.47469302448358e-08,0.270357101782116,0.278,0.115,0.000618029835934529
"Ahnak",2.47614957788962e-08,-0.416386162484443,0.538,0.478,0.000618393595582154
"Rap1b",2.50022381048892e-08,0.0306653579425156,0.715,0.526,0.000624405894431503
"Usp1",2.50470726285837e-08,0.33493812712347,0.291,0.116,0.000625525591826249
"Ost4",2.50591789430833e-08,0.284109643232135,0.57,0.346,0.000625827934924561
"Riok3",2.51145509714731e-08,0.245403669716363,0.411,0.223,0.000627210795961568
"Rin2",2.52278012000813e-08,-0.18328955464865,0.342,0.229,0.000630039107170831
"P2ry6",2.55622068411665e-08,-0.0309114134840641,0.285,0.158,0.000638390553651292
"Eef1d",2.57933664307292e-08,-0.041415868925901,0.538,0.367,0.000644163533241032
"Ptges3",2.60450611389151e-08,0.0201803527824609,0.348,0.208,0.000650449356883265
"Ran",2.60456352595072e-08,-0.0282655716540527,0.468,0.303,0.000650463694970933
"Hsd17b4",2.60589504566077e-08,0.104943123808919,0.253,0.115,0.000650796228703322
"Cct3",2.60604240828632e-08,0.0599965975017303,0.342,0.193,0.000650833031045426
"Txnl1",2.6547104503102e-08,0.212424020589673,0.399,0.211,0.000662987387860468
"Mtdh",2.69573895825823e-08,0.0103209804638653,0.652,0.471,0.00067323384743541
"Arpp19",2.72097782620273e-08,0.0199366005291046,0.494,0.314,0.000679537002315871
"Fam195b",2.76428043105534e-08,0.0959821581109738,0.31,0.159,0.00069035139485176
"Prpf4b",2.77782141410254e-08,0.205391394379168,0.392,0.206,0.000693733119957968
"Dnajb11",2.80277932852818e-08,0.0212952500120789,0.342,0.198,0.000699966109506627
"Zfp36",2.82255594581185e-08,-0.410434997355564,0.829,0.727,0.000704905121907052
"Becn1",2.84484645998085e-08,0.172017499575987,0.304,0.144,0.000710471954915617
"Metrnl",2.9151331380661e-08,-0.0780977749061698,0.5,0.357,0.000728025349900628
"Nfic",2.93668469547688e-08,0.058498699395533,0.329,0.184,0.000733407635848396
"Fnbp1",2.97735799219634e-08,-0.251383015130818,0.335,0.234,0.000743565384971114
"Tecr",2.99878688923922e-08,0.0072118485325805,0.392,0.245,0.000748917037718603
"Uqcrfs1",3.01842879471958e-08,-0.0477484698353134,0.43,0.287,0.000753822407193267
"Rbm3",3.05028806490369e-08,0.16979889973019,0.373,0.188,0.000761778941329047
"Atxn7l3b",3.07568171590428e-08,0.0417355091598437,0.443,0.283,0.000768120751729934
"Xpo1",3.0858283599794e-08,0.210708706616309,0.272,0.109,0.000770654774621257
"Klhl9",3.08597459151423e-08,0.0309402403505227,0.253,0.133,0.000770691294484763
"Mrps15",3.08754585243933e-08,0.209884662137887,0.405,0.217,0.000771083701188198
"Hn1",3.1296854664636e-08,0.209505391918124,0.532,0.332,0.00078160764839462
"Sept9",3.14476889032221e-08,-0.0874320783667557,0.272,0.157,0.000785374582669069
"Rab20",3.16307074721871e-08,0.38868818260351,0.259,0.094,0.000789945288410402
