"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nt5c",0.000307360185357318,-0.106189978692693,0.3,0.137,1
"Ndufb9",0.000309995563924329,0.559224572088391,0.64,0.357,1
"Adam10",0.000312813779680787,0.24841684683963,0.6,0.329,1
"Cd300lg",0.000313587074866724,-0.153994641180976,0.46,0.329,1
"Prkcdbp",0.000314635593414289,-0.583416346657279,0.42,0.372,1
"Braf",0.000314976560545622,0.138199366961706,0.26,0.081,1
"Smarca5",0.000315200611816294,-0.177114176961329,0.38,0.215,1
"Snhg3",0.000315323284577236,0.0900801450853467,0.28,0.099,1
"Rftn1",0.000315592534538268,0.25373714852842,0.36,0.157,1
"Erlec1",0.000316252072665163,-0.422883062062129,0.28,0.208,1
"Hdgf",0.00031639706646616,0.0436053173857817,0.42,0.21,1
"Kdm3a",0.000316673771174374,0.12001665316328,0.26,0.081,1
"Creb1",0.000316802075610768,0.294841369700335,0.3,0.106,1
"Psmd3",0.000316850660055607,0.260803258343937,0.3,0.116,1
"Fam50a",0.000317322141821405,0.372207450595433,0.32,0.116,1
"Rabggtb",0.000317377898475949,0.511743359221027,0.32,0.106,1
"Unc45b",0.000317830488515468,-0.0491575151557391,0.4,0.21,1
"Sf3a3",0.000319181101355176,0.120662256550681,0.3,0.122,1
"Sbds",0.000320001078734789,-0.113520675779699,0.4,0.238,1
"Rpn1",0.000320034295017634,-0.110176797391364,0.4,0.243,1
"Rad50",0.000320278649321151,-0.005418708044308,0.28,0.116,1
"Vamp3",0.000322938603554234,0.272767969832689,0.42,0.19,1
"Ndufs5",0.000323608086313339,-0.135097547661072,0.34,0.187,1
"Gna13",0.000323724106324353,0.460283671123805,0.3,0.091,1
"Slc25a5",0.000324175611580774,0.711569110940701,0.78,0.501,1
"Cdk17",0.000324575755909714,0.345669650703881,0.28,0.091,1
"Atad2",0.000324836988340272,0.222324459349976,0.26,0.078,1
"Adprh",0.000325701824622316,0.422477045917483,0.46,0.208,1
"Plk2",0.00032616440233123,-0.0868729628098928,0.66,0.446,1
"Ap3b1",0.00032641262868265,-0.230766564021679,0.28,0.149,1
"Wdr89",0.000327713586264492,0.130740995576377,0.56,0.337,1
"Rpsa",0.000328011380715781,-0.547143033784059,0.56,0.595,1
"Ednrb",0.000328694226890325,0.00415200468762,0.42,0.243,1
"Ppfibp1",0.000328846155649733,-0.345354828130692,0.46,0.329,1
"Arhgdib",0.000331854147624359,-0.127127426388074,0.3,0.147,1
"Stx16",0.000332350173422473,0.197667224499219,0.26,0.081,1
"Psme2b",0.00033276258388995,-0.0145539274327757,0.28,0.106,1
"Frmd4a",0.000332995602111919,-0.038978493155424,0.26,0.104,1
"Rps25",0.000334649380698022,-0.273602226942642,0.78,0.671,1
"Brap",0.000335402362037264,0.0341483954223936,0.28,0.114,1
"Fam96b",0.000335648909453161,0.325016100036959,0.38,0.165,1
"Col6a1",0.000336020549233042,-0.753775135976724,0.3,0.281,1
"Nr4a1",0.000337195511303691,-0.219441536363741,0.46,0.319,1
"Brd7",0.000337865600495035,0.255232528516108,0.36,0.152,1
"Fbxo11",0.000338016487043502,0.0084776397915276,0.26,0.094,1
"Prpsap1",0.000338141849735617,0.370093223382834,0.3,0.099,1
"Pim1",0.000338588706006492,0.421748631435175,0.28,0.086,1
