"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mt-Rnr2",3.19230166085142e-131,-1.2915299789146,1,1,7.97245416781033e-127
"Rpl13",6.76039513939071e-120,-1.38548470913869,0.823,0.922,1.68834108211143e-115
"Rpl36",1.72617959975455e-112,-1.79827393276817,0.491,0.757,4.31096093242701e-108
"Rps27",5.31364878761828e-112,-1.69866752719999,0.532,0.877,1.32703064821979e-107
"H19",1.07746537793523e-106,2.05998611543534,0.887,0.328,2.69086203485544e-102
"Pfn1",1.6001949499067e-101,-1.45224306686643,0.634,0.728,3.99632686789698e-97
"Ftl1",4.72319322386685e-97,-1.87673238484455,0.32,0.565,1.17957027572851e-92
"Hbb-bs",3.8343620538268e-95,-0.985656955910115,0.27,0.641,9.57593579322704e-91
"Rps23",8.03002258265064e-94,-1.56454632843969,0.526,0.831,2.00541783979117e-89
"Fau",1.4353291667937e-93,-1.45931272230306,0.602,0.81,3.5845910611506e-89
"Vim",4.37764457793584e-93,1.22459306876367,0.994,0.831,1.0932729568937e-88
"Myl2",2.61010923821193e-91,2.00886189328385,0.782,0.207,6.51848681151047e-87
"mt-Rnr1",6.89479387498382e-89,-1.47220263399934,0.846,0.943,1.72190582233846e-84
"Rps16",1.09144453219664e-86,-1.2567223578013,0.657,0.747,2.72577357470788e-82
"Rps6",5.07751033301867e-84,-1.80650841874466,0.375,0.703,1.26805743056808e-79
"Myl3",2.25639514449999e-82,1.8699922852796,0.674,0.15,5.63512123387427e-78
"Rps28",3.59073424175777e-81,-1.78399625248008,0.294,0.583,8.96749969536586e-77
"Rps18",3.05386392393934e-78,-1.30891725231629,0.558,0.696,7.62671976364611e-74
"Top2a",5.35474702367215e-78,1.96910565204265,0.497,0.061,1.33729452169188e-73
"Rpl10",1.95193850082356e-74,-1.38006159264772,0.488,0.729,4.87477121195676e-70
"Tnnc1",3.86618236467165e-73,1.56726928416028,0.535,0.09,9.65540383753099e-69
"Iigp1",2.57987980278838e-72,3.25250224039664,0.465,0.077,6.4429918194837e-68
"Mest",5.73853719438641e-71,1.46044317709385,0.913,0.536,1.43314227892606e-66
"Tubb5",1.75784167873678e-69,1.47747380028939,0.855,0.422,4.39003380847724e-65
"Actc1",1.49391175645534e-68,1.87516488440807,0.64,0.16,3.73089522057157e-64
"Rpl35",2.42969330296064e-68,-1.24042486459452,0.523,0.631,6.06791605481389e-64
"Hn1",8.76413180126434e-67,0.959339154194505,0.596,0.149,2.18875427604776e-62
"Mki67",1.53429503930886e-66,1.65995877750535,0.422,0.047,3.83174843116995e-62
"Nppa",6.80091521795206e-66,1.45527335480473,0.366,0.029,1.69846056653135e-61
"Gnas",1.22923589515198e-65,0.881233946846422,0.991,0.904,3.06989372455256e-61
"Cxcl9",2.18026026287127e-65,2.17058434960714,0.256,0.003,5.44498198049472e-61
"Rpl18a",2.19425295271817e-64,-0.992158917690302,0.785,0.852,5.47992732411836e-60
"Igf2",4.55190828207417e-64,1.30484801146196,0.93,0.642,1.1367935743652e-59
"B2m",9.52093982574388e-64,1.40369372782095,0.942,0.833,2.37775951208128e-59
"Hspa8",1.07596692184658e-63,-1.36238156294349,0.41,0.549,2.68711979061964e-59
"Serpina3f",2.43484910001515e-63,1.56306478108449,0.253,0.004,6.08079214237782e-59
"Rpl17",4.37031687187426e-63,-1.20064377198424,0.558,0.762,1.09144293558188e-58
"Rpl19",1.50674196311585e-62,-1.05010979544016,0.61,0.717,3.76293737868552e-58
"Serpina3g",3.02810436406096e-62,2.06581586309254,0.311,0.018,7.56238783880584e-58
"Cdk1",4.34069492691252e-62,1.23982959425024,0.401,0.047,1.08404515104713e-57
"Rpl28",7.87127639561673e-62,-1.56978800479055,0.305,0.595,1.96577256704132e-57
"2810417H13Rik",1.7052164312298e-61,1.23785540559412,0.372,0.037,4.25860751535331e-57
"Birc5",1.80507155503679e-61,1.3614880048809,0.378,0.039,4.50798570154888e-57
"Rpl37",4.46175223220425e-61,-0.878549588851592,0.759,0.768,1.11427800247069e-56
"Ppia",1.00953353559631e-60,-1.04703171915241,0.654,0.727,2.52120905179822e-56
"Rps29",2.69530720826623e-60,-1.22661017255465,0.532,0.822,6.73126022192409e-56
"Tubb6",1.07530822205722e-59,1.11743032487634,0.41,0.054,2.68547475376571e-55
"Tk1",6.04974063166264e-59,1.08626444138997,0.34,0.029,1.51086222535143e-54
"Lmnb1",2.76337739368756e-58,0.953158843536369,0.395,0.054,6.90125870299531e-54
"Nucks1",6.4791286289935e-58,1.28016399770628,0.613,0.171,1.61809758380484e-53
"Lims2",1.59152448412415e-57,-1.43849365098695,0.305,0.477,3.97467324665165e-53
"Rpl36a",2.82946854262005e-57,-1.11945953884463,0.52,0.644,7.0663147383393e-53
"Lig1",2.92588404133e-57,1.00383753448532,0.41,0.064,7.30710280481754e-53
"Rps2",3.69655601206343e-57,-0.799769901309917,0.724,0.686,9.2317789845272e-53
"Rps27a",1.53794769556182e-55,-1.11083317694057,0.578,0.822,3.84087057489608e-51
"Prc1",1.92938623063238e-55,1.49015674158857,0.363,0.042,4.81844917238131e-51
"Cst3",2.30588069271261e-55,-0.899705546253289,0.791,0.793,5.75870644198046e-51
"Tnni3",4.84570994733196e-55,1.2767466044808,0.471,0.097,1.21016760224668e-50
