"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Atf3",2.57591280036345e-14,0.528121749879294,0.348,0.2,6.43308462762767e-10
"Ywhab",2.70972114022825e-14,0.255518668227602,0.732,0.572,6.76725757560603e-10
"Nes",2.79783117674716e-14,0.210999772415515,0.334,0.209,6.98730358080835e-10
"Crip2",2.82120625607953e-14,0.043448975341474,0.576,0.46,7.04568050393303e-10
"Btg2",2.82637071985113e-14,-0.0157525991049607,0.628,0.5,7.05857823575621e-10
"Pura",2.86968454017059e-14,-0.244758634963448,0.287,0.258,7.16675017062204e-10
"Rnf11",2.95618399372396e-14,-0.116551359760513,0.283,0.223,7.38277390592622e-10
"Jund",3.67592937518706e-14,0.0142834385394712,0.738,0.616,9.18026602159215e-10
"Zfp106",3.93838755154724e-14,0.0180707023919255,0.28,0.194,9.83572907123408e-10
"Smc4",4.11891850851768e-14,0.576374721326486,0.517,0.349,1.02865870831721e-09
"Nbl1",4.98824546880917e-14,-0.580689040233955,0.214,0.259,1.2457644233804e-09
"Cox6a1",5.24748009213681e-14,0.0754696819149947,0.768,0.632,1.31050567821025e-09
"Dynlt3",5.39596561648527e-14,-0.0809527681877802,0.273,0.208,1.34758845306103e-09
"Col4a1",6.0268759137448e-14,-0.299664382252613,0.803,0.764,1.50515199069863e-09
"Cdh11",6.40085770154061e-14,0.157015180911099,0.331,0.22,1.59855020238275e-09
"S100a10",6.8895485756405e-14,0.613551671151476,0.761,0.633,1.72059586128046e-09
"Capns1",7.32766511605411e-14,0.014452412367937,0.632,0.514,1.83001108608335e-09
"Actn1",7.33861671111498e-14,-0.270475999373626,0.315,0.291,1.83274613743386e-09
"Ctcf",7.78275690979643e-14,0.0545427421097078,0.307,0.207,1.94366571065256e-09
"Wwtr1",8.05517677131136e-14,0.120693593042931,0.287,0.186,2.0116998468673e-09
"Rps9",8.10705867303886e-14,0.290190706283594,0.969,0.919,2.02465683300472e-09
"Cd47",8.20799680434047e-14,0.0684338438708036,0.568,0.436,2.04986512191599e-09
"Gucy1b3",8.3004073899886e-14,0.131138549574192,0.332,0.227,2.07294374157575e-09
"Il6st",8.50090639635138e-14,-0.0560696734383448,0.286,0.215,2.12301636342479e-09
"Mrps16",8.69021843792503e-14,-0.149202054756017,0.265,0.22,2.1702951526874e-09
"Reep3",9.07188829157994e-14,-0.345899051308581,0.275,0.283,2.26561338193917e-09
"Dnajc25",1.02849942290601e-13,-0.109757833930461,0.282,0.219,2.56857445876547e-09
"Ostf1",1.16383891570695e-13,-0.0155973075358296,0.32,0.239,2.90657130808653e-09
"Hes1",1.18604250706947e-13,-0.0947436433691393,0.32,0.242,2.96202255715529e-09
"Fstl1",1.25083465987411e-13,-0.34877270978483,0.975,0.985,3.1238344795696e-09
"Lum",1.36525188047433e-13,-0.421138360138462,0.897,0.904,3.40958004629658e-09
"H2-D1",1.39730853970881e-13,-0.104318567388214,0.573,0.493,3.48963834706877e-09
"Man1a2",1.42760589049386e-13,-0.0200168807710633,0.258,0.182,3.56530295091936e-09
"Lipa",1.48894799893238e-13,-0.137089377461492,0.335,0.275,3.71849873253373e-09
"Tcf25",1.60169717006111e-13,0.0764931317655777,0.644,0.509,4.00007851251062e-09
"Sppl2a",1.62098656939848e-13,0.0221633550424736,0.258,0.177,4.04825185841577e-09
"Tra2a",1.68934450228819e-13,-0.0983946767087898,0.401,0.333,4.21896896001452e-09
"F2r",1.69025724383367e-13,-0.162968466943602,0.321,0.289,4.22124844075022e-09
"Ghr",1.98910710618687e-13,-0.0589486427034803,0.256,0.187,4.9675960869911e-09
"App",2.04948941059016e-13,-0.158202060814941,0.789,0.736,5.11839485400786e-09
"Hp1bp3",2.12680147883324e-13,0.0692738096536694,0.535,0.413,5.31147401323814e-09
"Ctsb",2.15238162830281e-13,-0.10690253771853,0.57,0.495,5.37535787852345e-09
"Serpine2",2.29729837491075e-13,0.330517875713254,0.652,0.492,5.7372729615021e-09
"Ndufa4",2.45939547949393e-13,-0.117234638066271,0.624,0.554,6.14209427048814e-09
"Sec61b",2.85829720227017e-13,0.107350873428959,0.634,0.503,7.13831143294952e-09
"Pde1a",3.33583960436757e-13,0.00301807245040164,0.289,0.204,8.33092582794758e-09
"Rpl13a",3.52584811520589e-13,0.290826116435201,0.959,0.92,8.80545308291518e-09
