"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Myh6",9.23143716161321e-05,0.770147381734039,0.368,0.061,1
"1500012F01Rik",0.000102688922887153,0.582865337835353,0.737,0.343,1
"Gm6564",0.0001047828077914,0.439560915851288,0.316,0.04,1
"Hba-a1",0.000107045695980731,-1.81283795150706,0.053,0.354,1
"Rpl34",0.000126288814659404,-1.09285008058886,0.553,0.657,1
"Pde3a",0.000126770683170087,0.460438172480427,0.474,0.141,1
"Mthfsl",0.000128150005784517,0.490455495272951,0.289,0.03,1
"Cyth3",0.000128170186438044,0.558345800377528,0.263,0.02,1
"Ddx55",0.000130832300863403,1.01363382786854,0.263,0.02,1
"Psmd13",0.000133279342496485,0.435553845381434,0.447,0.121,1
"Hadha",0.000134483971414098,1.12148249483953,0.632,0.242,1
"Chd1",0.000134593118351917,0.653853865502179,0.553,0.192,1
"Samm50",0.000141694280652189,0.675428732324254,0.447,0.111,1
"Ndufv1",0.000154710427368927,0.47101529258213,0.5,0.152,1
"Hars",0.000164495339592509,0.56446367569904,0.5,0.152,1
"Rpl12",0.000169929884869986,-0.968730349742818,0.5,0.788,1
"Plin3",0.000207322797761255,0.0614301780249897,0.553,0.263,1
"Cox6b1",0.000233400603340049,0.91160584914038,0.921,0.646,1
"Add3",0.000236681894637455,0.646645501361976,0.658,0.283,1
"Tmpo",0.000239386622891027,0.810308426293013,0.421,0.101,1
"Rps13-ps2",0.000249735806176052,0.83047636846195,0.421,0.101,1
"Hspa8",0.000410394383269775,-1.29006998882064,0.395,0.586,1
"Mapkap1",0.000438358696571454,1.04312079719517,0.421,0.111,1
"Col6a1",0.000439447366742422,-1.1664226392798,0.5,0.687,1
"Pum3",0.000441642591614762,0.832577978611549,0.526,0.182,1
"Ptma",0.000453380659949434,-0.708650927798129,0.868,0.889,1
"Hnrnpab",0.000468699358685725,0.929536077662708,0.842,0.515,1
"Paxbp1",0.000522763514892199,0.876094027222781,0.368,0.081,1
"Rps4x",0.00054523669483855,-0.877739210158782,0.763,0.828,1
"Bclaf1",0.000574691642262695,0.681133088001872,0.737,0.374,1
"Atrx",0.000583880405601241,0.697482806905993,0.868,0.545,1
"Hsp90ab1",0.000654491317925669,0.588997194555904,0.921,0.939,1
"Cfh",0.000672513265389559,-1.09331486677388,0.658,0.687,1
"Gcsh",0.000679279330514762,0.657250333660637,0.395,0.101,1
"Glrx5",0.000709448422823042,0.885291474776895,0.474,0.152,1
"Cbx5",0.000710304158122456,0.508427301717299,0.711,0.364,1
"Ptov1",0.000790683885911408,0.674552516489315,0.658,0.303,1
"Glipr2",0.000820198752565962,0.884598457132941,0.289,0.051,1
"Ptbp3",0.000850935590320384,0.53850460921374,0.579,0.242,1
"Ccdc55",0.000862236316698328,0.691145677790669,0.447,0.152,1
"Arhgap5",0.000887388743717055,0.517420607562245,0.579,0.253,1
"Pdhb",0.000894169943054066,0.934630794636536,0.316,0.061,1
"Mrpl50",0.000897756587515065,0.447490451597344,0.368,0.091,1
"Ilkap",0.000920891947331367,0.404980681488696,0.342,0.081,1
"Chsy1",0.000949837997018213,0.2904146756401,0.289,0.051,1
"P3h3",0.000955925503451394,0.0758935258816783,0.447,0.172,1
"Ddx39",0.000960864183764916,0.764720289085222,0.316,0.061,1
"Rpl41",0.000994443356882467,-0.459056474451712,0.895,0.949,1
