"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Csrp1",2.42263310460064e-11,0.206035066456069,0.344,0.068,6.05028391542965e-07
"Copa",2.43222675767073e-11,0.140230946477621,0.448,0.146,6.07424310460688e-07
"Calu",2.46632275308928e-11,0.164278605801803,0.688,0.342,6.15939444356516e-07
"Mesdc2",2.46838983693127e-11,0.173787832765641,0.531,0.217,6.16455677875216e-07
"Gltscr2",2.47682758937228e-11,0.236659425989747,0.75,0.388,6.18562922169832e-07
"Xaf1",2.4858426140508e-11,0.44155163934148,0.5,0.16,6.20814334433046e-07
"Phip",2.51812932794693e-11,0.433022415620282,0.469,0.139,6.28877618361467e-07
"Ufm1",2.52001203397576e-11,0.112344628691797,0.438,0.135,6.29347805365106e-07
"Tmem59",2.53584104991383e-11,0.0602687267971334,0.833,0.541,6.33300943805479e-07
"Hnrnpu",2.55573987962759e-11,0.443586616460766,0.573,0.217,6.38270477538194e-07
"Nrp2",2.56648063462032e-11,-0.762026475780881,0.448,0.32,6.40952873690079e-07
"Ik",2.58113745208827e-11,0.0456437795371221,0.583,0.278,6.44613267284526e-07
"Ppp4c",2.61374146145625e-11,0.247765419842876,0.562,0.217,6.52755792584083e-07
"Cd63",2.63677826470222e-11,0.108368218070494,0.792,0.473,6.58509003826733e-07
"Top2b",2.64845577597232e-11,0.241713013683384,0.594,0.26,6.61425345491327e-07
"Copz1",2.65244069607183e-11,0.0950153888714048,0.417,0.128,6.62420539436979e-07
"Stag1",2.65896619269725e-11,0.185128310165247,0.448,0.142,6.64050216964211e-07
"Pomp",2.67982355220281e-11,0.418410468560511,0.615,0.256,6.6925913392713e-07
"Mbnl2",2.69160329482353e-11,-0.142373426814535,0.75,0.477,6.72201006849229e-07
"Eif1b",2.6936137927719e-11,-0.0455839416221828,0.479,0.185,6.72703108606855e-07
"Kdm5a",2.69764216326181e-11,0.228340399759502,0.542,0.21,6.73709153853004e-07
"Tapbpl",2.71939074532916e-11,0.518537581055651,0.333,0.053,6.79140644738504e-07
"Chmp4b",2.75332917046251e-11,0.356489241300401,0.552,0.203,6.87616427031307e-07
"Ptpn11",2.7995108885473e-11,0.460951495458936,0.458,0.128,6.99149849305803e-07
"Rpa3",2.80094276780923e-11,0.0607746717630153,0.417,0.135,6.99507446832677e-07
"Ndufa12",2.8820378363099e-11,0.190890300808414,0.583,0.263,7.19760129240034e-07
"Map1lc3a",2.92658446429132e-11,0.331161740724238,0.49,0.164,7.30885204112114e-07
"Mast4",2.97161095233688e-11,0.148559049051291,0.344,0.075,7.42130119236612e-07
"Rps4x",3.00322421854181e-11,-0.426359619747105,0.833,0.662,7.50025216338631e-07
"H2-M3",3.04122733956112e-11,0.551741853330042,0.354,0.06,7.59516115781993e-07
"Ssb",3.05469178053946e-11,0.767795142442645,0.802,0.402,7.62878725271924e-07
"Tox4",3.06099861790278e-11,0.341955970298913,0.344,0.071,7.64453794835041e-07
"Baz2b",3.0767788571544e-11,0.425759855029673,0.531,0.196,7.68394751785739e-07
"Dnajc1",3.07692218349812e-11,0.301038308138314,0.562,0.224,7.6843054610682e-07
"Anp32b",3.09220410844477e-11,0.595244208229609,0.792,0.409,7.72247054042998e-07
"Eif4e2",3.11593762150688e-11,0.286568922083346,0.51,0.181,7.78174261595129e-07
"Yme1l1",3.12286897041253e-11,0.0182084909089191,0.469,0.189,7.79905296670824e-07
"Nans",3.19341894969042e-11,0.404105537520046,0.458,0.132,7.97524448495685e-07
"F11r",3.2287581671875e-11,0.055062989062324,0.594,0.285,8.06350064673406e-07
"Zc3h13",3.24978163709821e-11,0.689898234552497,0.677,0.285,8.11600466048907e-07
"Mtpn",3.29741989793167e-11,0.0315403101927856,0.594,0.278,8.23497645309456e-07
"Kdelr2",3.32983080532228e-11,-0.0387962307267096,0.604,0.306,8.31591945321186e-07
"Nemf",3.3999112062629e-11,0.242624051824512,0.469,0.149,8.49093824652095e-07
"Snx4",3.42436626743398e-11,0.234294415606859,0.552,0.214,8.55201231628961e-07
"Nelfe",3.50502577602712e-11,0.372642644265072,0.302,0.043,8.75345137305012e-07
"Usp25",3.52038183243753e-11,0.193072217216407,0.49,0.171,8.79180158832949e-07
"Txnrd1",3.57096523373401e-11,0.600932349843217,0.438,0.107,8.91812857472731e-07
"Wdr33",3.62459249945763e-11,0.300925049759276,0.427,0.114,9.05205730814549e-07
"Cnpy2",3.64061798296754e-11,0.0305485619586687,0.531,0.249,9.09207935066313e-07
"Sec61b",3.66599976196791e-11,0.119071506688843,0.625,0.295,9.15546780553867e-07
"Cenph",3.69127513445775e-11,0.565725634253501,0.281,0.028,9.21859052079478e-07
"Rgs16",3.74395964828882e-11,0.762452118480203,0.333,0.05,9.35016482563651e-07
"Smc3",3.75545959525853e-11,0.333027043214613,0.552,0.214,9.37888479319866e-07
"Cap1",3.79830130093879e-11,0.15803032531369,0.458,0.164,9.48587766896453e-07
"Prnp",3.81247926596103e-11,0.532164404546107,0.479,0.146,9.52128571881108e-07
"Luc7l2",3.84331802134581e-11,0.506242891608587,0.729,0.349,9.59830242650903e-07
"Dusp2",3.88865297118535e-11,-0.189692421854944,0.354,0.107,9.7115219302383e-07
"Raly",3.93864673949594e-11,0.312654750697681,0.375,0.089,9.83637636721716e-07
"Sec62",3.98290037735293e-11,0.326486407103231,0.865,0.52,9.94689540240122e-07
"Akr1a1",3.99467540741351e-11,0.0946751262419201,0.854,0.544,9.9763023624745e-07
"Trp53",4.00696427792577e-11,0.325638918922585,0.469,0.139,1.00069925876918e-06
"Rpl37a",4.07178063054991e-11,-0.727700882567326,0.781,0.74,1.01688649467353e-06
"Cox20",4.07581542495015e-11,0.271473755029555,0.542,0.206,1.01789414422705e-06
"Pfkfb3",4.07607847389409e-11,0.544472448229733,0.312,0.043,1.01795983807031e-06
"Oxr1",4.10392176004514e-11,0.21269282261511,0.396,0.103,1.02491342035367e-06
"Rpl18a",4.25035678895357e-11,-0.681480677898182,0.833,0.776,1.06148410447326e-06
"Tmem30a",4.40493613956138e-11,0.0224297245926779,0.646,0.345,1.10008875149406e-06
"Bri3",4.49964837438418e-11,0.355974567922292,0.365,0.078,1.12374218501871e-06
"Zmym4",4.52520446113324e-11,0.251620662452757,0.323,0.06,1.13012456212341e-06
"Trim47",4.52707581845183e-11,-0.202487960631836,0.625,0.37,1.13059191490016e-06
"Eif3l",4.60498605482498e-11,-0.0039973321953457,0.448,0.167,1.15004921733199e-06
"Arglu1",4.71655879340785e-11,-0.00213364365411195,0.74,0.434,1.17791339306568e-06
"Ptpn1",4.73510067422129e-11,0.559798337971847,0.427,0.11,1.18254404238003e-06
"Tmem242",4.74713235024386e-11,0.167153045829197,0.417,0.132,1.1855488331499e-06
"Chm",4.90287082961666e-11,0.528294327983532,0.26,0.021,1.22444296098847e-06
"Erg",4.95264173126868e-11,-0.10169519290949,0.552,0.267,1.23687274596704e-06
"Pttg1ip",4.9540322975127e-11,-0.133457034546125,0.573,0.299,1.23722002598082e-06
"Sf3b6",4.98932034544171e-11,0.128624436535119,0.51,0.21,1.24603286307061e-06
"Eef1b2",5.01108091229235e-11,0.660772482036062,0.865,0.484,1.25146734703589e-06
"Stim2",5.01814359217494e-11,0.0136857739768805,0.458,0.174,1.25323118070977e-06
"4921524J17Rik",5.02316312817081e-11,0.168989323915722,0.438,0.142,1.25448475962938e-06
"Timm17a",5.05451046528871e-11,0.215099002098636,0.469,0.167,1.2623134436012e-06
"Snhg1",5.07249566655252e-11,0.336398846244735,0.417,0.117,1.26680506776483e-06
"Scarb2",5.08028278692783e-11,0.418776079711737,0.479,0.146,1.26874982320736e-06
"Gm8292",5.13969941574294e-11,0.391731706896502,0.583,0.238,1.28358853208764e-06
"Rpl7l1",5.17010174349034e-11,-0.0927000357286079,0.406,0.146,1.29118120941928e-06
"Pam",5.18473485766945e-11,-0.234379825895725,0.812,0.53,1.29483568335437e-06
"2700060E02Rik",5.23361152654939e-11,0.285041281332078,0.635,0.288,1.30704214264044e-06
"Ptbp3",5.26144677204209e-11,0.470246926570796,0.656,0.288,1.31399371684979e-06
"Ebf1",5.26618255463022e-11,-0.128775876790352,0.458,0.203,1.31517643119335e-06
"Slc6a6",5.28281529555637e-11,-0.626547615485264,0.521,0.331,1.31933029191225e-06
"Nucks1",5.31918103674725e-11,0.781703332453383,0.656,0.267,1.32841227211726e-06
"Ppp2r1a",5.36151067245068e-11,0.320860795651756,0.521,0.192,1.33898367533783e-06
