"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Uqcc2",2.47437415698993e-44,0.539171625596052,0.668,0.302,6.17950201966665e-40
"Nt5c3",2.73602090735234e-44,0.387742616781925,0.344,0.069,6.83293861402172e-40
"Tmco1",2.95440659844019e-44,-0.0784955789919795,0.505,0.261,7.37833503894454e-40
"Tram1",3.07136708036144e-44,-0.939360448377924,0.231,0.263,7.67043214649467e-40
"Papola",3.20693603135301e-44,-0.349867994283502,0.508,0.323,8.00900204470101e-40
"Thra",3.2324167973457e-44,0.0725365566737908,0.44,0.184,8.07263770969114e-40
"Isoc1",3.3187658016054e-44,0.44273806801886,0.403,0.099,8.28828571292932e-40
"Anapc5",3.33611588482129e-44,-0.334032577056151,0.475,0.31,8.33161581075269e-40
"Syf2",3.41958928668606e-44,-0.831446095181745,0.258,0.246,8.54008228456977e-40
"Tspo",3.52612319142027e-44,-0.187886712193824,0.491,0.27,8.80614005825298e-40
"Eif4h",3.66507863857021e-44,-0.189252944990478,0.523,0.304,9.15316739196524e-40
"Ppp2r5a",3.89578516378614e-44,-0.181961795378615,0.359,0.154,9.72933386803952e-40
"Atad3a",4.10376376215173e-44,0.519245500609138,0.363,0.066,1.02487396195977e-39
"Hand2",4.10651178341043e-44,0.538641441779826,0.312,0.036,1.02556025278892e-39
"Eno1",4.16594216456656e-44,-0.188368799099046,0.35,0.167,1.04040239617885e-39
"Ranbp1",4.21161728276403e-44,-0.544006478668428,0.411,0.308,1.05180930019749e-39
"Top2b",4.59412685871939e-44,-0.342228963799946,0.427,0.238,1.14733724169658e-39
"Glud1",4.61340689253121e-44,-0.225346712822021,0.385,0.203,1.15215223734075e-39
"Ube2r2",4.70855996501701e-44,-0.156039110993277,0.509,0.274,1.17591576566335e-39
"Mest",4.92462248969543e-44,-1.62369291018958,0.148,0.39,1.22987522057654e-39
"Frg1",5.13445866605566e-44,-0.7673346429484,0.311,0.263,1.28227970726074e-39
"Cd164",5.16243455255929e-44,0.33366707627993,0.457,0.148,1.28926640515616e-39
"Eny2",5.38891368671108e-44,0.160423846471637,0.571,0.27,1.34582730411922e-39
"Akap12",5.39530867904993e-44,-1.57641560630811,0.05,0.293,1.34742438950593e-39
"Rbm3",5.40007735434906e-44,-0.554167037618096,0.334,0.257,1.34861531847513e-39
"Naa15",5.8329600801387e-44,0.38286431241053,0.468,0.15,1.45672345041384e-39
"Gm14539",6.10658535458265e-44,0.392934889945956,0.348,0.071,1.52505862645347e-39
"Dpysl3",6.13755908751425e-44,0.229266671662992,0.522,0.214,1.53279400651581e-39
"Rbbp4",6.28616399387294e-44,-0.157122912369154,0.515,0.298,1.56990659582983e-39
"Psma5",6.29943300410353e-44,-0.211869345170088,0.527,0.308,1.57322039844482e-39
"Cyr61",6.43359174085463e-44,-1.48527688460468,0.196,0.268,1.60672520136104e-39
"Napa",6.4886559287025e-44,0.105204253825802,0.369,0.116,1.62047693163416e-39
